Clasificacion,Club_ID,Club,Temporada,Ganado,Empatado,Perdido,Goles,Diferencia goles,Puntos
1,ESP_RMA,Real Madrid,2025/2026,3,0,0,6,5,9
2,ESP_ATH,Athletic,2025/2026,3,0,0,6,3,9
3,ESP_VIL,Villarreal CF,2025/2026,2,1,0,8,7,7
4,ESP_FCB,FC Barcelona,2025/2026,2,1,0,7,4,7
5,ESP_ESP,RCD Espanyol,2025/2026,2,1,0,5,2,7
6,ESP_GET,Getafe CF,2025/2026,2,0,1,4,0,6
7,ESP_ELC,Elche CF,2025/2026,1,2,0,4,2,5
8,ESP_BET,Real Betis,2025/2026,1,2,1,4,0,5
9,ESP_VAL,Valencia CF,2025/2026,1,1,1,4,2,4
10,ESP_RAY,Rayo Vallecano,2025/2026,1,1,1,4,1,4
11,ESP_ALA,Alaves,2025/2026,1,1,1,3,0,4
12,ESP_SEV,Sevilla FC,2025/2026,1,0,2,5,0,3
13,ESP_OSA,CA Osasuna,2025/2026,1,0,2,1,-1,3
14,ESP_CEL,RC Celta,2025/2026,0,3,1,3,-2,3
15,ESP_ROV,Real Oviedo,2025/2026,1,0,2,1,-4,3
16,ESP_ATM,Atletico Madrid,2025/2026,0,2,1,3,-1,2
16,ESP_RSO,Real Sociedad,2025/2026,0,2,1,3,-1,2
18,ESP_MLL,RCD Mallorca,2025/2026,0,1,2,2,-4,1
19,ESP_LEV,Levante UD,2025/2026,0,0,3,3,-4,0
20,ESP_GIR,Girona FC,2025/2026,0,0,3,1,-9,0
1,ESP_FCB,FC Barcelona,2024/2025,28,4,6,102,63,88
2,ESP_RMA,Real Madrid,2024/2025,26,6,6,78,40,84
3,ESP_ATM,Atletico Madrid,2024/2025,22,10,6,68,38,76
4,ESP_ATH,Athletic,2024/2025,19,13,6,54,25,70
5,ESP_VIL,Villarreal CF,2024/2025,20,10,8,71,20,70
6,ESP_BET,Real Betis,2024/2025,16,12,10,57,7,60
7,ESP_CEL,RC Celta,2024/2025,16,7,15,59,2,55
8,ESP_RAY,Rayo Vallecano,2024/2025,13,13,12,41,-4,52
9,ESP_OSA,CA Osasuna,2024/2025,12,16,10,48,-4,52
10,ESP_MLL,RCD Mallorca,2024/2025,13,9,16,35,-9,48
11,ESP_RSO,Real Sociedad,2024/2025,13,7,18,35,-11,46
12,ESP_VAL,Valencia CF,2024/2025,11,13,14,44,-10,46
13,ESP_GET,Getafe CF,2024/2025,11,9,18,34,-5,42
14,ESP_ESP,RCD Espanyol,2024/2025,11,9,18,40,-11,42
15,ESP_ALA,Alaves,2024/2025,10,12,16,38,-10,42
16,ESP_GIR,Girona FC,2024/2025,11,8,19,45,-16,41
17,ESP_SEV,Sevilla FC,2024/2025,10,11,17,42,-13,41
18,ESP_LEG,CD Leganes ,2024/2025,9,13,16,39,-17,40
19,ESP_PAL,UD Las Palmas,2024/2025,8,8,22,41,-21,32
20,ESP_VALLA,Real Valladolid,2024/2025,4,4,30,27,-64,16
1,ESP_RMA,Real Madrid,2023/2024,29,8,1,87,61,95
2,ESP_FCB,FC Barcelona,2023/2024,26,7,5,79,35,85
3,ESP_GIR,Girona FC,2023/2024,25,6,7,85,39,81
4,ESP_ATM,Atletico Madrid,2023/2024,24,4,10,70,27,76
5,ESP_ATH,Athletic,2023/2024,19,11,8,61,24,68
6,ESP_RSO,Real Sociedad,2023/2024,16,12,10,51,12,60
7,ESP_BET,Real Betis,2023/2024,14,15,9,48,3,57
8,ESP_VIL,Villarreal CF,2023/2024,14,11,13,66,0,53
9,ESP_VAL,Valencia CF,2023/2024,13,10,15,40,-5,49
10,ESP_ALA,Alaves,2023/2024,12,10,16,36,-10,46
11,ESP_OSA,CA Osasuna,2023/2024,12,9,17,45,-11,45
12,ESP_GET,Getafe CF,2023/2024,10,13,15,42,-12,43
13,ESP_SEV,Sevilla FC,2023/2024,10,11,17,48,-6,41
14,ESP_CEL,RC Celta,2023/2024,10,11,17,46,-11,41
15,ESP_MLL,RCD Mallorca,2023/2024,8,16,14,33,-11,40
16,ESP_PAL,UD Las Palmas,2023/2024,10,10,18,33,-14,40
17,ESP_RAY,Rayo Vallecano,2023/2024,8,14,16,29,-19,38
18,ESP_CAD,Cadiz CF,2023/2024,6,15,17,26,-29,33
19,ESP_ALM,UD Almeria,2023/2024,3,12,23,44,-32,21
20,ESP_GRA,Granada CF,2023/2024,4,9,25,39,-41,21
1,ESP_FCB,FC Barcelona,2022/2023,28,4,6,70,50,88
2,ESP_RMA,Real Madrid,2022/2023,24,6,8,75,39,78
3,ESP_ATM,Atletico Madrid,2022/2023,23,8,7,70,37,77
4,ESP_RSO,Real Sociedad,2022/2023,21,8,9,51,16,71
5,ESP_VIL,Villarreal CF,2022/2023,19,7,12,59,19,64
6,ESP_BET,Real Betis,2022/2023,17,9,12,46,5,60
7,ESP_OSA,CA Osasuna,2022/2023,15,8,15,37,-5,53
8,ESP_ATH,Athletic,2022/2023,14,9,15,47,4,51
9,ESP_MLL,RCD Mallorca,2022/2023,14,8,16,37,-6,50
10,ESP_GIR,Girona FC,2022/2023,13,10,15,58,3,49
11,ESP_SEV,Sevilla FC,2022/2023,13,10,15,47,-7,49
12,ESP_RAY,Rayo Vallecano,2022/2023,13,10,15,45,-8,49
13,ESP_CEL,RC Celta,2022/2023,11,10,17,43,-10,43
14,ESP_VAL,Valencia CF,2022/2023,11,9,18,42,-3,42
15,ESP_GET,Getafe CF,2022/2023,10,12,16,34,-11,42
16,ESP_CAD,Cadiz CF,2022/2023,10,12,16,30,-23,42
17,ESP_ALM,UD Almeria,2022/2023,11,8,19,50,-16,41
18,ESP_VALLA,Real Valladolid,2022/2023,11,7,20,34,-30,40
19,ESP_ESP,RCD Espanyol,2022/2023,8,13,17,53,-17,37
20,ESP_ELC,Elche CF,2022/2023,5,10,23,31,-37,25
1,ESP_RMA,Real Madrid,2021/2022,26,8,4,80,49,86
2,ESP_FCB,FC Barcelona,2021/2022,21,10,7,68,30,73
3,ESP_ATM,Atletico Madrid,2021/2022,21,8,9,65,22,71
4,ESP_SEV,Sevilla FC,2021/2022,18,16,4,53,23,70
5,ESP_BET,Real Betis,2021/2022,19,8,11,62,22,65
6,ESP_RSO,Real Sociedad,2021/2022,17,11,10,40,3,62
7,ESP_VIL,Villarreal CF,2021/2022,16,11,11,63,26,59
8,ESP_ATH,Athletic,2021/2022,14,13,11,43,7,55
9,ESP_VAL,Valencia CF,2021/2022,11,15,12,48,-5,48
10,ESP_OSA,CA Osasuna,2021/2022,12,11,15,37,-14,47
11,ESP_CEL,RC Celta,2021/2022,12,10,16,43,0,46
12,ESP_RAY,Rayo Vallecano,2021/2022,11,9,18,39,-11,42
13,ESP_ELC,Elche CF,2021/2022,11,9,18,40,-12,42
14,ESP_ESP,RCD Espanyol,2021/2022,10,12,16,40,-13,42
15,ESP_GET,Getafe CF,2021/2022,8,15,15,33,-8,39
16,ESP_MLL,RCD Mallorca,2021/2022,10,9,19,37,-27,39
17,ESP_CAD,Cadiz CF,2021/2022,8,15,15,35,-16,39
18,ESP_GRA,Granada CF,2021/2022,8,14,16,45,-17,38
19,ESP_LEV,Levante UD,2021/2022,8,11,19,52,-25,35
20,ESP_ALA,Alaves,2021/2022,8,7,23,32,-34,31
1,ESP_ATM,Atletico Madrid,2020/2021,26,8,4,67,42,86
2,ESP_RMA,Real Madrid,2020/2021,25,9,4,67,39,84
3,ESP_FCB,FC Barcelona,2020/2021,24,7,7,85,47,79
4,ESP_SEV,Sevilla FC,2020/2021,24,5,9,53,20,77
5,ESP_RSO,Real Sociedad,2020/2021,17,11,10,59,21,62
6,ESP_BET,Real Betis,2020/2021,17,10,11,50,0,61
7,ESP_VIL,Villarreal CF,2020/2021,15,13,10,60,16,58
8,ESP_CEL,RC Celta,2020/2021,14,11,13,55,-2,53
9,ESP_ATH,Athletic,2020/2021,11,13,14,46,4,46
10,ESP_GRA,Granada CF,2020/2021,13,7,18,48,-18,46
11,ESP_OSA,CA Osasuna,2020/2021,11,11,16,37,-11,44
12,ESP_CAD,Cadiz CF,2020/2021,11,11,16,36,-22,44
