Jornada,Local_ID,Local,Visitante,Visitante_ID,Goles_local,goles_visitante,Resultado,Marcador,Temporada
1,ESP_GIR,Girona,Rayo Vallecano,ESP_RAY,1,3,Visitante,1-3,2025/2026
1,ESP_VIL,Villarreal,Real Oviedo,ESP_ROV,2,0,Local,2-0,2025/2026
1,ESP_MLL,RCD Mallorca,Barcelona,ESP_FCB,0,3,Visitante,0-3,2025/2026
1,ESP_ALA,Deportivo Alaves,Levante UD ,ESP_LEV,2,1,Local,2-1,2025/2026
1,ESP_VAL,Valencia CF,Real Sociedad,ESP_RSO,1,1,Empate,1-1,2025/2026
1,ESP_CEL,Celta de Vigo,Getafe CF,ESP_GET,0,2,Visitante,0-2,2025/2026
1,ESP_ATH,Athletic club,Sevilla FC,ESP_SEV,3,2,Local,3-2,2025/2026
1,ESP_ESP,RCD Espanyol,Atletico de Madrid,ESP_ATM,2,1,Local,2-1,2025/2026
1,ESP_ELC,Elche CF,Betis,ESP_BET,1,1,Empate,1-1,2025/2026
1,ESP_RMA,Real Madrid,CA Osasuna,ESP_OSA,1,0,Local,1-0,2025/2026
2,ESP_BET,Betis,Alaves,ESP_ALA,1,0,Local,1-0,2025/2026
2,ESP_MLL,RCD Mallorca ,Celta de Vigo,ESP_CEL,1,1,Empate,1-1,2025/2026
2,ESP_ATM,Atletico de Madrid,Elche CF,ESP_ELC,1,1,Empate,1-1,2025/2026
2,ESP_LEV,Levante,FC Barcelona,ESP_FCB,2,3,Visitante,2-3,2025/2026
2,ESP_OSA,Osasuna,Valencia,ESP_VAL,1,0,Local,1-0,2025/2026
2,ESP_VIL,Villarreal,Girona,ESP_GIR,5,0,Local,5-0,2025/2026
2,ESP_RSO,Real Sociedad,RCD Espanyol,ESP_ESP,2,2,Empate,2-2,2025/2026
2,ESP_ROV,Real Oviedo,Real Madrid,ESP_RMA,0,3,Visitante,0-3,2025/2026
2,ESP_ATH,Athletic club,Rayo Vallecano,ESP_RAY,1,0,Local,1-0,2025/2026
2,ESP_SEV,Sevilla FC,Getafe CF,ESP_GET,1,2,Visitante,1-2,2025/2026
3,ESP_ELC,Elche CF,Levante UD ,ESP_LEV,2,0,Local,2-0,2025/2026
3,ESP_VAL,Valencia CF,Getafe CF,ESP_GET,3,0,Local,3-0,2025/2026
3,ESP_ALA,Deportivo Alaves,Atletico de Madrid,ESP_ATM,1,1,Empate,1-1,2025/2026
3,ESP_ROV,Real Oviedo,Real Sociedad,ESP_RSO,1,0,Local,1-0,2025/2026
3,ESP_GIR,Girona,Sevilla FC,ESP_SEV,0,2,Visitante,0-2,2025/2026
3,ESP_RMA,Real Madrid,RCD Mallorca ,ESP_MLL,2,1,Local,2-1,2025/2026
3,ESP_CEL,Celta de Vigo,Villarreal,ESP_VIL,1,1,Empate,1-1,2025/2026
3,ESP_BET,Betis,Athletic Club,ESP_ATH,1,2,Visitante,1-2,2025/2026
3,ESP_ESP,RCD Espanyol,Osasuna,ESP_OSA,1,0,Local,1-0,2025/2026
3,ESP_RAY,Rayo Vallecano,FC Barcelona,ESP_FCB,1,1,Empate,1-1,2025/2026
4,ESP_SEV,Sevilla FC,Elche CF,ESP_ELC,2,2,Empate,2-2,2025/2026
4,ESP_GET,Getafe,Real Oviedo,ESP_ROV,2,0,Local,2-0,2025/2026
4,ESP_RSO,Real Sociedad,Real Madrid,ESP_RMA,1,2,Visitante,1-2,2025/2026
4,ESP_ATH,Athletic club,Deportivo Alaves,ESP_ALA,0,1,Visitante,0-1,2025/2026
4,ESP_ATM,Atletico de Madrid,Villarreal,ESP_VIL,2,0,Local,2-0,2025/2026
4,ESP_CEL,Celta de Vigo,Girona,ESP_GIR,1,1,Empate,1-1,2025/2026
4,ESP_LEV,Levante,Betis,ESP_BET,2,2,Empate,2-2,2025/2026
4,ESP_OSA,Osasuna,Rayo Vallecano,ESP_RAY,2,0,Local,2-0,2025/2026
4,ESP_FCB,FC Barcelona,Valencia,ESP_VAL,6,0,Local,6-0,2025/2026
4,ESP_ESP,RCD Espanyol,RCD Mallorca ,ESP_MLL,3,2,Local,3-2,2025/2026
5,ESP_FCB,FC Barcelona,Getafe CF,ESP_GET,3,0,Local,3-0,2025/2026
5,ESP_MLL,RCD Mallorca,Atletico de Madrid,ESP_ATM,1,1,Empate,1-1,2025/2026
5,ESP_VAL,Valencia,Athletic club,ESP_ATH,2,0,Local,2-0,2025/2026
5,ESP_ELC,Elche CF,Real Oviedo,ESP_ROV,1,0,Local,1-0,2025/2026
5,ESP_RAY,Rayo Vallecano,Celta de Vigo,ESP_CEL,1,1,Empate,1-1,2025/2026
5,ESP_ALA,Deportivo Alaves,Sevilla FC,ESP_SEV,1,2,Visitante,1-2,2025/2026
5,ESP_BET,Betis,Real Sociedad,ESP_RSO,3,1,Local,3-1,2025/2026
5,ESP_RMA,Real Madrid,RCD Espanyol,ESP_ESP,2,0,Local,2-0,2025/2026
5,ESP_GIR,Girona,Levante UD ,ESP_LEV,0,4,Visitante,0-4,2025/2026
5,ESP_VIL,Villarreal,Osasuna,ESP_OSA,2,1,Local,2-1,2025/2026
6,ESP_ESP,RCD Espanyol,Valencia,ESP_VAL,2,2,Empate,2-2,2025/2026
6,ESP_SEV,Sevilla FC,Villarreal,ESP_VIL,1,2,Visitante,1-2,2025/2026
6,ESP_GET,Getafe,Alaves,ESP_ALA,1,1,Empate,1-1,2025/2026
