position,Club_ID,Club,Valor_actual,Valor_millones,Temporada
1,ESP_RMA,Real Madrid CF,"1,40",1400000000,2025/2026
2,ESP_FCB,FC Barcelona,"1,11",1110000000,2025/2026
3,ESP_ATM,Atletico de Madrid,"627,80",627800000,2025/2026
4,ESP_ATH,Athletic Club,"380,50",380500000,2025/2026
5,ESP_RSO,Real Sociedad,"293,20",293200000,2025/2026
6,ESP_VIL,Villarreal CF,"255,80",255800000,2025/2026
7,ESP_BET,Real Betis Balompie,"206,00",206000000,2025/2026
8,ESP_VAL,Valencia CF,"172,10",172100000,2025/2026
9,ESP_GIR,Girona FC,"166,60",166600000,2025/2026
10,ESP_CEL,RC Celta de Vigo,"122,00",122000000,2025/2026
11,ESP_SEV,Sevilla FC,"118,85",118850000,2025/2026
12,ESP_ESP,RCD Espanyol,"95,40",95400000,2025/2026
13,ESP_OSA,CA Osasuna,"85,70",85700000,2025/2026
14,ESP_MLL,RCD Mallorca,"79,90",79900000,2025/2026
15,ESP_RAY,Rayo Vallecano,"77,40",77400000,2025/2026
16,ESP_ALA,Deportivo Alaves,"66,90",66900000,2025/2026
17,ESP_ELC,Elche CF,"65,00",65000000,2025/2026
18,ESP_GET,Getafe CF,"63,80",63800000,2025/2026
19,ESP_LEV,Levante UD,"59,70",59700000,2025/2026
20,ESP_ROV,Real Oviedo,"55,55",55550000,2025/2026
1,ESP_RMA,Real Madrid CF,"1034",1340000000,2024/2025
2,ESP_FCB,FC Barcelona,"875,00",875000000,2024/2025
3,ESP_ATM,Atletico de Madrid,"529,50",529500000,2024/2025
4,ESP_ATH,Athletic Club,"318,60",318600000,2024/2025
5,ESP_RSO,Real Sociedad,"431,20",431200000,2024/2025
6,ESP_VIL,Villarreal CF,"196,20",196200000,2024/2025
7,ESP_BET,Real Betis Balompie,"192,40",192400000,2024/2025
8,ESP_VAL,Valencia CF,"260,00",260000000,2024/2025
9,ESP_GIR,Girona FC,"208,00",208000000,2024/2025
10,ESP_CEL,RC Celta de Vigo,"81,10",81100000,2024/2025
11,ESP_SEV,Sevilla FC,"190,60",190600000,2024/2025
12,ESP_ESP,RCD Espanyol,"67,80",67800000,2024/2025
13,ESP_OSA,CA Osasuna,"104,20",104200000,2024/2025
14,ESP_MLL,RCD Mallorca,"85,70",85700000,2024/2025
