Club_ID,Club ,fichaje,valor,coste,Temporada
ESP_RMA,Real Madrid ,Trent Alexander Arnold,75000000,10000000,2025/2026
ESP_RMA,Real Madrid ,Dean Huijsen,60000000,62500000,2025/2026
ESP_ATM,Atletico Madrid,alex Baena,55000000,42000000,2025/2026
ESP_RMA,Real Madrid ,alvaro Carreras,35000000,42000000,2025/2026
ESP_FCB,FC Barcelona,Marcus Rashford,50000000,0,2025/2026
ESP_RMA,Real Madrid ,Franco Mastantuono,30000000,45000000,2025/2026
ESP_RMA,Real Madrid ,Kylian Mbappe,180000000,0,2024/2025
ESP_ATM,Atletico Madrid,Julian Alvarez,90000000,75000000,2024/2025
ESP_RMA,Real Madrid ,Endrick,60000000,47500000,2024/2025
ESP_FCB,FC Barcelona,Dani Olmo,60000000,55000000,2024/2025
ESP_ATM,Atletico Madrid,Conor Gallagher,50000000,42000000,2024/2025
ESP_VAL,Valencia CF,Giorgi Mamardashvili,45000000,0,2024/2025
ESP_RMA,Real Madrid ,Jude Bellingham,120000000,127000000,2023/2024
ESP_FCB,FC Barcelona,Joao Felix,50000000,0,2023/2024
ESP_FCB,FC Barcelona,Joao Candelo,50000000,0,2023/2024
ESP_FCB,FC Barcelona,Vitor Roque,40000000,30000000,2023/2024
ESP_ATM,Atletico Madrid,Arthur Vermeeren,30000000,20000000,2023/2024
ESP_ATM,Atletico Madrid,Antoine Griezman,25000000,22000000,2023/2024
ESP_RMA,Real Madrid ,Aurelien Tchouameni,60000000,80000000,2022/2023
ESP_FCB,FC Barcelona,Jules Kounde,60000000,50000000,2022/2023
ESP_FCB,FC Barcelona,Raphina,45000000,58000000,2022/2023
ESP_FCB,FC Barcelona,Frank Kessie ,45000000,0,2022/2023
ESP_FCB,FC Barcelona,Robert Lewandowski,45000000,45000000,2022/2023
ESP_RMA,Real Madrid ,Antonio Rudiger,40000000,0,2022/2023
ESP_ATM,Atletico Madrid,Antoine Griezman,60000000,10000000,2021/2022
ESP_RMA,Real Madrid ,David Alaba,55000000,0,2021/2022
ESP_RMA,Real Madrid ,Eduardo Camavinga,55000000,31000000,2021/2022
ESP_FCB,FC Barcelona,Ferran Torres,45000000,55000000,2021/2022
ESP_FCB,FC Barcelona,Memphis Depay,45000000,0,2021/2022
ESP_ATM,Atletico Madrid,Rodrigo De Paul,38000000,35000000,2021/2022
ESP_FCB,FC Barcelona,Miralem Pjanic,45000000,60000000,2020/2021
ESP_FCB,FC Barcelona,Ansu Fati,50000000,0,2020/2021
ESP_ATM,Atletico Madrid,Alvaro Morata,36000000,35000000,2020/2021
ESP_FCB,FC Barcelona,Francisco Trincao,16000000,30940000,2020/2021
ESP_VIL,Villarreal CF,Takefusa Kubo,30000000,1250000,2020/2021
ESP_ATM,Atletico Madrid,Lucas Torreira,30000000,0,2020/2021
ESP_RMA,Real Madrid ,Eden Hazard,150000000,120800000,2019/2020
ESP_FCB,FC Barcelona,Antoine Griezman,130000,120000000,2019/2020
ESP_ATM,Atletico Madrid,Joao Felix,70000000,127200000000,2019/2020
ESP_FCB,FC Barcelona,Frenkie de Jong,85000000,86000000,2019/2020
ESP_RMA,Real Madrid ,Luka Jovic,60000000,63000000,2019/2020
ESP_BET,Real Betis,Nabil Fekir,60000000,19750000000,2019/2020
